RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.SetNewColorToInsertedFramePalette;wizmachine/services/impl/sprworkmanageradvance.cs;35;GetFramePaletteData;wizmachine/data/sprdata.cs;SprWorkManagerAdvance;FrameRGBA$FrameRGBACache;3;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.SetNewColorToInsertedFramePalette;wizmachine/services/impl/sprworkmanageradvance.cs;35;SetPaletteColorChangedIndex;wizmachine/data/sprdata.cs;SprWorkManagerAdvance;FrameRGBA$FrameRGBACache;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.InsertFrame;wizmachine/services/impl/sprworkmanageradvance.cs;70;SetCopiedPaletteData;wizmachine/data/sprdata.cs;SprWorkManagerAdvance;FrameRGBA$FrameRGBACache;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.InsertFrame;wizmachine/services/impl/sprworkmanageradvance.cs;70;CreateSprFileHead;wizmachine/data/sprdata.cs;SprWorkManagerAdvance;SprFileHead;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.SwitchFrame;wizmachine/services/impl/sprworkmanageradvance.cs;166;E;wizmachine/utils/logger.cs;SprWorkManagerAdvance;Logger;2;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData;wizmachine/services/impl/sprworkmanageradvance.cs;253;GetPaletteColorChangedIndex;wizmachine/data/sprdata.cs;SprWorkManagerAdvance;FrameRGBA$FrameRGBACache;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData;wizmachine/services/impl/sprworkmanageradvance.cs;253;FoEach;wizmachine/utils/extension.cs;SprWorkManagerAdvance;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData;wizmachine/services/impl/sprworkmanageradvance.cs;253;ResetPaletteColorChangedIndex;wizmachine/data/sprdata.cs;SprWorkManagerAdvance;FrameRGBA$FrameRGBACache;1;wizmachine/services>wizmachine/data;4;N
CALLS;FindClosetRGBColorInPalette;wizmachine/services/impl/sprworkmanagercore.cs;71;CalculateRGBEuclideanDistance;wizmachine/utils/colorutil.cs;SprWorkManagerCore;ColorUtil;1;wizmachine/services>wizmachine/utils;2;N
CALLS;EncryptFrameData;wizmachine/services/impl/sprworkmanagercore.cs;91;CopyStructToList;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WriteFrameOffsetInfoList;wizmachine/services/impl/sprworkmanagercore.cs;181;CopyStructToList;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;EncryptedSprFile;wizmachine/services/impl/sprworkmanagercore.cs;163;SetVersionInfoStr;wizmachine/data/sprdata.cs;SprWorkManagerCore;US_SprFileHead;1;wizmachine/services>wizmachine/data;4;N
CALLS;EncryptedSprFile;wizmachine/services/impl/sprworkmanagercore.cs;163;SetReserved;wizmachine/data/sprdata.cs;SprWorkManagerCore;US_SprFileHead;1;wizmachine/services>wizmachine/data;4;N
CALLS;EncryptedSprFile;wizmachine/services/impl/sprworkmanagercore.cs;163;CopyStructToList;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.ApplyNewPaletteToOldFrames;wizmachine/services/impl/sprworkmanagercore.cs;244;FoEach;wizmachine/utils/extension.cs;SprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.ApplyNewPaletteToInsertedFrames;wizmachine/services/impl/sprworkmanagercore.cs;255;FoEach;wizmachine/utils/extension.cs;SprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.IsNeedToApplyNewPaletteToOldFrames;wizmachine/services/impl/sprworkmanagercore.cs;266;IsSame;wizmachine/data/sprdata.cs;SprWorkManagerCore;Palette;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.InitFromFileHead;wizmachine/services/impl/sprworkmanagercore.cs;301;GetVersionInfo;wizmachine/data/sprdata.cs;SprWorkManagerCore;US_SprFileHead;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.InitFromFileHead;wizmachine/services/impl/sprworkmanagercore.cs;301;GetReserved;wizmachine/data/sprdata.cs;SprWorkManagerCore;US_SprFileHead;1;wizmachine/services>wizmachine/data;4;N
READS;WizMachine.Services.Base.ISprWorkManagerCore.InitFrameData;wizmachine/services/impl/sprworkmanagercore.cs;330;RGBA;wizmachine/services/impl/sprworkmanagercore.cs;SprWorkManagerCore;ColorMode;1;;;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.InitFrameData;wizmachine/services/impl/sprworkmanagercore.cs;330;Apply;wizmachine/utils/extension.cs;SprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.InitFrameData;wizmachine/services/impl/sprworkmanagercore.cs;330;I;wizmachine/utils/logger.cs;SprWorkManagerCore;Logger;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromHeader;wizmachine/services/impl/sprworkmanagercore.cs;360;ToUnsafe;wizmachine/data/sprdata.cs;SprWorkManagerCore;SprFileHead$SprFileHeadCache;2;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromHeader;wizmachine/services/impl/sprworkmanagercore.cs;360;ToByteArray;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;3;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromHeader;wizmachine/services/impl/sprworkmanagercore.cs;360;ToUnsafe;wizmachine/data/sprdata.cs;SprWorkManagerCore;SprFileHead;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromAllFramesOffsetInfo;wizmachine/services/impl/sprworkmanagercore.cs;375;CopyStructToArray;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromEncryptedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;402;IsFrameSizeChanged;wizmachine/data/sprdata.cs;SprWorkManagerCore;FrameRGBA;1;wizmachine/services>wizmachine/data;4;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromEncryptedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;402;Let;wizmachine/utils/extension.cs;SprWorkManagerCore;SharpExtension;2;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerCore.RecalculatePaletteColorForAllInsertedFrame;wizmachine/services/impl/sprworkmanagercore.cs;515;SelectMostUsePaletteColorFromCountableColorSource;wizmachine/utils/bitmaputil.cs;SprWorkManagerCore;BitmapUtil;1;wizmachine/services>wizmachine/utils;2;N
READS;InitDecodedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;549;RGB;wizmachine/services/impl/sprworkmanagercore.cs;SprWorkManagerCore;ColorMode;1;;;N
READS;InitDecodedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;549;RGBA;wizmachine/services/impl/sprworkmanagercore.cs;SprWorkManagerCore;ColorMode;1;;;N
READS;InitDecodedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;549;BGRA;wizmachine/services/impl/sprworkmanagercore.cs;SprWorkManagerCore;ColorMode;1;;;N
CALLS;InitDecodedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;549;BinToStruct;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;2;wizmachine/services>wizmachine/utils;2;N
CALLS;InitDecodedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;549;CopyStructToArray;wizmachine/utils/extension.cs;SprWorkManagerCore;Extension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;InitDecodedFrameData;wizmachine/services/impl/sprworkmanagercore.cs;549;I;wizmachine/utils/logger.cs;SprWorkManagerCore;Logger;1;wizmachine/services>wizmachine/utils;2;N
CALLS;ForceCheckCertPermission;wizmachine/services/utils/nativeengine.cs;111;ForceCheckCertPermission;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;1;;;N
CALLS;GetSignedCertInfoFromFile;wizmachine/services/utils/nativeengine.cs;124;GetCertificateInfo;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;1;;;N
CALLS;GetSignedCertInfoFromFile;wizmachine/services/utils/nativeengine.cs;124;FreeCertInfo;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;1;;;N
CALLS;ExtractPakFile;wizmachine/services/utils/nativeengine.cs;149;ExtractPakFile;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;1;;;N
CALLS;CompressFolderToPakFile;wizmachine/services/utils/nativeengine.cs;157;CompressFolderToPakFile;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;1;;;N
CALLS;LoadSPRFile;wizmachine/services/utils/nativeengine.cs;164;LoadSPRFile;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;1;;;N
CALLS;ConvertAndFreeNativeFrameDataToAppData;wizmachine/services/utils/nativeengine.cs;224;FreeArrData;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;NativeEngine;2;;;N
CALLS;SelectMostUseColorFromOrderedDescendingColorSource;wizmachine/utils/bitmaputil.cs;98;CalculateEuclideanDistance;wizmachine/utils/colorutil.cs;BitmapUtil;ColorUtil;2;;;N
CALLS;SelectMostUseColorFromOrderedDescendingColorSource;wizmachine/utils/bitmaputil.cs;98;FindAlphaColors;wizmachine/utils/colorutil.cs;BitmapUtil;ColorUtil;1;;;N
CALLS;SelectMostUseColorFromOrderedDescendingColorSource;wizmachine/utils/bitmaputil.cs;98;BlendColors;wizmachine/utils/colorutil.cs;BitmapUtil;ColorUtil;1;;;N
CALLS;SelectMostUseColorFromOrderedDescendingColorSource;wizmachine/utils/bitmaputil.cs;98;Also;wizmachine/utils/extension.cs;BitmapUtil;SharpExtension;1;;;N
CALLS;SelectMostUseColorFromOrderedDescendingColorSource;wizmachine/utils/bitmaputil.cs;98;ReduceSameItem;wizmachine/utils/extension.cs;BitmapUtil;Extension;1;;;N
CALLS;ForceCheckCurrentAssemblyCert;wizmachine/utils/certmanagerutil.cs;33;ForceCheckCertPermission;wizmachine/services/utils/nativeengine.cs;CertManagerUtil;NativeEngine;1;wizmachine/utils>wizmachine/services;5;Y
CALLS;ForceCheckCert;wizmachine/utils/certmanagerutil.cs;38;GetSignedCertInfoFromFile;wizmachine/services/utils/nativeengine.cs;CertManagerUtil;NativeAPIAdapter;1;wizmachine/utils>wizmachine/services;5;Y
CALLS;ForceCheckCert;wizmachine/utils/certmanagerutil.cs;38;ForceCheckCertPermission;wizmachine/services/utils/nativeengine.cs;CertManagerUtil;NativeEngine;1;wizmachine/utils>wizmachine/services;5;Y
READS;Logger;wizmachine/utils/logger.cs;14;LogWriter;wizmachine/enginekeeper.cs;Logger;EngineKeeper;1;wizmachine/utils>wizmachine/{root};6;Y
