@complementary_indicator
No.;SAM Metrics;Tool;Score;RefactoringItems;Density;Ratio;Scoring
6;NCS;wizmachine/services/impl/sprworkmanageradvance.cs;WizMachine.Services.Base.ISprWorkManagerAdvance.RemoveFrame;System.Boolean WizMachine.Services.Impl.SprWorkManagerAdvance.WizMachine.Services.Base.ISprWorkManagerAdvance.RemoveFrame(System.UInt32);146;4;Y 


7;NCS;wizmachine/services/impl/sprworkmanageradvance.cs;WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData;System.Byte[] WizMachine.Services.Impl.SprWorkManagerAdvance.WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData(System.UInt32,out System.Collections.Generic.List<System.ValueTuple<System.Windows.Media.Color,System.Windows.Media.Color,System.Int32>>);253;4;Y 


8;NCS;wizmachine/services/impl/sprworkmanagercore.cs;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromEncryptedFrameData;System.Byte[] WizMachine.Services.Impl.SprWorkManagerCore.WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromEncryptedFrameData(System.Int32,System.Boolean,System.Boolean,System.Nullable<WizMachine.Data.Palette>);402;4;Y 


9;NCS;wizmachine/utils/bitmaputil.cs;SelectMostUseColorFromCountableColorSource;System.Collections.Generic.List<System.Windows.Media.Color> WizMachine.Utils.BitmapUtil.SelectMostUseColorFromCountableColorSource(System.Int32,System.UInt32,System.Collections.Generic.Dictionary<System.Windows.Media.Color,System.Int64>[]);25;4;Y 


10;NCS;wizmachine/utils/bitmaputil.cs;CountColors;void WizMachine.Utils.BitmapUtil.CountColors(System.Windows.Media.Imaging.BitmapSource,out System.Int64,out System.Int64,out System.Collections.Generic.Dictionary<System.Windows.Media.Color,System.Int64>,out System.Collections.Generic.HashSet<System.Windows.Media.Color>);280;4;Y 


